,Date,HomeTeam,AwayTeam,FTR,TipicoH,TipicoD,TipicoA
0,10/08/07,Stuttgart,Schalke 04,D,2.37,3.25,2.87
1,11/08/07,Bayern Munich,Hansa Rostock,H,1.16,6.0,19.0
2,11/08/07,Bochum,Werder Bremen,D,3.5,3.3,2.05
3,11/08/07,Ein Frankfurt,Hertha,H,2.37,3.2,2.9
4,11/08/07,Hannover,Hamburg,A,2.5,3.2,2.75
5,11/08/07,Leverkusen,Cottbus,D,1.53,3.8,6.0
6,11/08/07,Wolfsburg,Bielefeld,A,2.0,3.3,3.6
7,12/08/07,Dortmund,Duisburg,A,1.53,3.8,6.0
8,12/08/07,Nurnberg,Karlsruhe,A,1.8,3.3,4.5
9,17/08/07,Karlsruhe,Hannover,A,2.37,3.25,2.87
10,18/08/07,Bielefeld,Ein Frankfurt,D,2.1,3.25,3.4
11,18/08/07,Duisburg,Wolfsburg,A,2.3,3.25,3.0
12,18/08/07,Hansa Rostock,Nurnberg,A,2.6,3.25,2.6
13,18/08/07,Hertha,Stuttgart,H,3.0,3.25,2.3
14,18/08/07,Schalke 04,Dortmund,H,1.75,3.4,4.75
15,18/08/07,Werder Bremen,Bayern Munich,A,3.8,3.3,1.95
16,19/08/07,Cottbus,Bochum,A,2.4,3.2,2.87
17,19/08/07,Hamburg,Leverkusen,H,2.1,3.25,3.4
18,24/08/07,Bochum,Hamburg,H,3.0,3.25,2.3
19,25/08/07,Bayern Munich,Hannover,H,1.16,6.5,15.0
20,25/08/07,Bielefeld,Hertha,H,2.37,3.25,2.87
21,25/08/07,Dortmund,Cottbus,H,1.61,3.6,5.5
22,25/08/07,Leverkusen,Karlsruhe,H,1.57,3.6,6.0
23,25/08/07,Nurnberg,Werder Bremen,A,2.6,3.25,2.6
24,25/08/07,Stuttgart,Duisburg,H,1.44,4.0,7.5
25,26/08/07,Ein Frankfurt,Hansa Rostock,H,1.72,3.5,4.75
26,26/08/07,Wolfsburg,Schalke 04,D,3.4,3.25,2.1
27,31/08/07,Schalke 04,Leverkusen,D,1.72,3.5,4.75
28,01/09/07,Cottbus,Nurnberg,D,2.8,3.25,2.4
29,01/09/07,Duisburg,Bielefeld,H,2.3,3.25,3.0
30,01/09/07,Hannover,Bochum,H,2.0,3.3,3.6
31,01/09/07,Hansa Rostock,Dortmund,A,3.2,3.25,2.2
32,01/09/07,Hertha,Wolfsburg,H,2.2,3.25,3.2
33,01/09/07,Werder Bremen,Ein Frankfurt,H,1.57,3.6,6.0
34,02/09/07,Hamburg,Bayern Munich,D,4.0,3.5,1.83
35,02/09/07,Karlsruhe,Stuttgart,H,3.6,3.3,2.0
36,14/09/07,Dortmund,Werder Bremen,H,2.6,3.25,2.7
37,15/09/07,Bayern Munich,Schalke 04,D,1.5,4.0,6.75
38,15/09/07,Bielefeld,Hansa Rostock,H,1.75,3.5,4.75
39,15/09/07,Ein Frankfurt,Hamburg,H,2.7,3.25,2.6
40,15/09/07,Leverkusen,Bochum,H,1.61,3.75,5.5
41,15/09/07,Nurnberg,Hannover,D,2.1,3.3,3.5
