,Date,HomeTeam,AwayTeam,FTR,TipicoH,TipicoD,TipicoA
0,07/08/09,Wolfsburg,Stuttgart,H,"1,95","3,4","3,9"
1,08/08/09,Dortmund,FC Koln,H,"1,6","3,8",6
2,08/08/09,Hertha,Hannover,H,"1,85","3,4","4,5"
3,08/08/09,Hoffenheim,Bayern Munich,D,"3,8","3,4",2
4,08/08/09,Mainz,Leverkusen,D,"3,7","3,4",2
5,08/08/09,Nurnberg,Schalke 04,A,"3,4","3,2","2,2"
6,08/08/09,Werder Bremen,Ein Frankfurt,A,"1,45","4,2","7,5"
7,09/08/09,Bochum,M'gladbach,D,"2,15","3,3","3,4"
8,09/08/09,Freiburg,Hamburg,D,"3,6","3,3","2,1"
9,15/08/09,Bayern Munich,Werder Bremen,D,"1,6","3,8","5,8"
10,15/08/09,Ein Frankfurt,Nurnberg,D,"2,1","3,3","3,6"
11,15/08/09,FC Koln,Wolfsburg,A,"4,5","3,5","1,8"
12,15/08/09,Hamburg,Dortmund,H,"2,15","3,3","3,5"
13,15/08/09,Hannover,Mainz,D,"1,85","3,5","4,2"
14,15/08/09,Leverkusen,Hoffenheim,H,2,"3,4","3,7"
15,15/08/09,Stuttgart,Freiburg,H,"1,45","4,2","7,5"
16,16/08/09,M'gladbach,Hertha,H,"2,4","3,2",3
17,16/08/09,Schalke 04,Bochum,H,"1,45","4,2","7,5"
18,21/08/09,Hoffenheim,Schalke 04,D,"2,6","3,3","2,7"
19,22/08/09,Dortmund,Stuttgart,D,"2,2","3,4","3,2"
20,22/08/09,FC Koln,Ein Frankfurt,D,"2,2","3,3","3,3"
21,22/08/09,Freiburg,Leverkusen,A,"3,4","3,3","2,15"
22,22/08/09,Mainz,Bayern Munich,H,"7,5","4,3","1,45"
23,22/08/09,Nurnberg,Hannover,A,"1,95","3,4",4
24,23/08/09,Bochum,Hertha,H,"2,4","3,3","2,9"
25,23/08/09,Werder Bremen,M'gladbach,H,"1,4","4,5",8
26,23/08/09,Wolfsburg,Hamburg,A,"1,85","3,4","4,5"
27,28/08/09,M'gladbach,Mainz,H,2,"3,4","3,7"
28,29/08/09,Bayern Munich,Wolfsburg,H,"1,7","3,8","4,8"
29,29/08/09,Ein Frankfurt,Dortmund,D,"2,9","3,3","2,4"
30,29/08/09,Hannover,Hoffenheim,A,"2,8","3,3","2,5"
31,29/08/09,Leverkusen,Bochum,H,"1,4","4,3","8,5"
32,29/08/09,Schalke 04,Freiburg,A,"1,35","4,7",9
33,29/08/09,Stuttgart,Nurnberg,D,"1,5",4,7
34,30/08/09,Hamburg,FC Koln,H,"1,35","4,7",9
35,30/08/09,Hertha,Werder Bremen,A,"3,4","3,4","2,1"
36,12/09/09,Dortmund,Bayern Munich,A,"4,2","3,6","1,8"
37,12/09/09,Freiburg,Ein Frankfurt,A,"2,15","3,3","3,4"
38,12/09/09,Hamburg,Stuttgart,H,"1,75","3,7","4,5"
39,12/09/09,Hoffenheim,Bochum,H,"1,55","3,8","6,5"
40,12/09/09,Mainz,Hertha,H,"2,4","3,3","2,9"
41,12/09/09,Nurnberg,M'gladbach,H,2,"3,4","3,8"
42,12/09/09,Wolfsburg,Leverkusen,A,"2,1","3,3","3,6"
43,13/09/09,FC Koln,Schalke 04,A,"3,7","3,4",2
44,13/09/09,Werder Bremen,Hannover,D,"1,3","5,2",10
45,18/09/09,Schalke 04,Wolfsburg,A,"2,15","3,4","3,3"
46,19/09/09,Bayern Munich,Nurnberg,H,"1,2",6,15
47,19/09/09,Bochum,Mainz,A,"2,15","3,4","3,3"
48,19/09/09,Hannover,Dortmund,D,"2,8","3,3","2,5"
49,19/09/09,M'gladbach,Hoffenheim,A,"3,1","3,3","2,3"
50,19/09/09,Stuttgart,FC Koln,A,"1,55",4,"6,3"
51,20/09/09,Ein Frankfurt,Hamburg,D,"3,7","3,4",2
52,20/09/09,Hertha,Freiburg,A,"1,95","3,5","3,8"
53,20/09/09,Leverkusen,Werder Bremen,D,"2,2","3,4","3,2"
54,25/09/09,Nurnberg,Bochum,A,"1,85","3,5","4,2"
55,26/09/09,Dortmund,Schalke 04,A,"2,5","3,2","2,9"
56,26/09/09,Ein Frankfurt,Stuttgart,A,"2,7","3,2","2,7"
57,26/09/09,FC Koln,Leverkusen,A,"3,6","3,5",2
58,26/09/09,Hamburg,Bayern Munich,H,"3,2","3,4","2,2"
59,26/09/09,Werder Bremen,Mainz,H,"1,35","4,7",9
60,26/09/09,Wolfsburg,Hannover,H,"1,4","4,3","8,5"
61,27/09/09,Freiburg,M'gladbach,H,2,"3,4","3,7"
62,27/09/09,Hoffenheim,Hertha,H,"1,4","4,5",8
63,02/10/09,Schalke 04,Ein Frankfurt,H,"1,45","4,3","7,2"
64,03/10/09,Bayern Munich,FC Koln,D,"1,22",6,14
65,03/10/09,Bochum,Wolfsburg,D,"4,2","3,7","1,8"
66,03/10/09,Hannover,Freiburg,H,"2,15","3,4","3,3"
67,03/10/09,Leverkusen,Nurnberg,H,"1,37","4,8",8
68,03/10/09,Mainz,Hoffenheim,H,"4,3","3,7","1,8"
69,03/10/09,M'gladbach,Dortmund,A,"2,9","3,3","2,4"
70,04/10/09,Hertha,Hamburg,A,5,"3,7","1,7"
71,04/10/09,Stuttgart,Werder Bremen,A,"2,6","3,4","2,6"
72,17/10/09,Ein Frankfurt,Hannover,H,"2,2","3,3","3,3"
73,17/10/09,FC Koln,Mainz,H,"2,1","3,3","3,6"
74,17/10/09,Freiburg,Bayern Munich,A,"6,5","3,8","1,55"
75,17/10/09,Hamburg,Leverkusen,D,"2,2","3,4","3,2"
76,17/10/09,Nurnberg,Hertha,H,"2,25","3,3","3,2"
77,17/10/09,Stuttgart,Schalke 04,A,"2,5","3,3","2,8"
78,17/10/09,Werder Bremen,Hoffenheim,H,"1,8","3,6","4,4"
79,18/10/09,Dortmund,Bochum,H,"1,6","3,7",6
80,18/10/09,Wolfsburg,M'gladbach,H,"1,35","4,7",9
81,23/10/09,Leverkusen,Dortmund,D,"1,75","3,6","4,8"
82,24/10/09,Bayern Munich,Ein Frankfurt,H,"1,25","5,5",12
83,24/10/09,Hannover,Stuttgart,H,"2,8","3,3","2,5"
84,24/10/09,Hoffenheim,Nurnberg,H,"1,45","4,3","7,3"
85,24/10/09,Mainz,Freiburg,H,"2,2","3,4","3,2"
86,24/10/09,M'gladbach,FC Koln,D,"2,15","3,3","3,3"
87,25/10/09,Bochum,Werder Bremen,A,"5,5","3,8","1,6"
88,25/10/09,Hertha,Wolfsburg,D,"4,6","3,7","1,75"
89,25/10/09,Schalke 04,Hamburg,D,"2,15","3,2","3,5"
90,30/10/09,Dortmund,Hertha,H,"1,5","3,8","5,8"
91,31/10/09,FC Koln,Hannover,A,"2,05","3,3","3,7"
92,31/10/09,Hamburg,M'gladbach,A,"1,35","4,5",10
93,31/10/09,Nurnberg,Werder Bremen,D,"4,8","3,7","1,7"
94,31/10/09,Schalke 04,Leverkusen,D,"2,35","3,2","3,1"
95,31/10/09,Stuttgart,Bayern Munich,D,"4,1","3,5","1,85"
96,31/10/09,Wolfsburg,Mainz,D,"1,45","4,2","7,5"
97,01/11/09,Ein Frankfurt,Bochum,H,"1,9","3,4","4,2"
98,01/11/09,Freiburg,Hoffenheim,A,"3,8","3,5","1,95"
99,06/11/09,Leverkusen,Ein Frankfurt,H,"1,45","4,2","7,5"
100,07/11/09,Bayern Munich,Schalke 04,D,"1,7","3,7",5
101,07/11/09,Bochum,Freiburg,A,"2,5","3,4","2,7"
102,07/11/09,Hoffenheim,Wolfsburg,A,"2,1","3,3","3,5"
103,07/11/09,Mainz,Nurnberg,H,"2,1","3,3","3,5"
104,07/11/09,M'gladbach,Stuttgart,D,3,"3,4","2,3"
105,08/11/09,Hannover,Hamburg,D,"3,4","3,3","2,15"
106,08/11/09,Hertha,FC Koln,A,2,"3,4","3,7"
107,08/11/09,Werder Bremen,Dortmund,D,"1,65","3,7","5,5"
108,21/11/09,Dortmund,Mainz,D,"1,65","3,8","5,3"
109,21/11/09,Ein Frankfurt,M'gladbach,A,"2,1","3,3","3,5"
110,21/11/09,FC Koln,Hoffenheim,A,"3,6","3,5",2
111,21/11/09,Freiburg,Werder Bremen,A,"4,5","3,5","1,8"
112,21/11/09,Schalke 04,Hannover,H,"1,45","4,4",7
113,21/11/09,Stuttgart,Hertha,D,"1,55",4,6
114,21/11/09,Wolfsburg,Nurnberg,A,"1,45","4,2","7,5"
115,22/11/09,Bayern Munich,Leverkusen,D,"1,8","3,6","4,4"
116,22/11/09,Hamburg,Bochum,A,"1,4","4,5",8
117,27/11/09,Bochum,FC Koln,D,"2,15","3,4","3,3"
118,28/11/09,Hertha,Ein Frankfurt,A,2,"3,4","3,7"
119,28/11/09,Hoffenheim,Dortmund,A,"1,7","3,7",5
120,28/11/09,Mainz,Hamburg,D,"2,9","3,3","2,4"
121,28/11/09,M'gladbach,Schalke 04,H,"3,6","3,3","2,1"
122,28/11/09,Nurnberg,Freiburg,A,"1,9","3,4","4,2"
123,28/11/09,Werder Bremen,Wolfsburg,D,"1,65",4,5
124,29/11/09,Hannover,Bayern Munich,A,5,"3,7","1,7"
125,29/11/09,Leverkusen,Stuttgart,H,"1,7","3,6","4,8"
126,04/12/09,Bayern Munich,M'gladbach,H,"1,25","5,5",12
127,05/12/09,Dortmund,Nurnberg,H,"1,65","3,7","5,5"
128,05/12/09,Ein Frankfurt,Mainz,H,"2,2","3,2","3,4"
129,05/12/09,Hamburg,Hoffenheim,D,"2,25","3,4","3,1"
130,05/12/09,Hannover,Leverkusen,D,"4,5","3,4","1,8"
131,05/12/09,Stuttgart,Bochum,D,"1,45","4,3","7,5"
132,05/12/09,Wolfsburg,Freiburg,D,"1,4","4,8","7,5"
133,06/12/09,FC Koln,Werder Bremen,D,"5,5",4,"1,6"
134,06/12/09,Schalke 04,Hertha,H,"1,4","4,3","8,5"
135,11/12/09,Hertha,Leverkusen,D,5,"3,7","1,7"
136,12/12/09,Bochum,Bayern Munich,A,"8,5","4,3","1,4"
137,12/12/09,Freiburg,FC Koln,D,"2,3","3,2","3,2"
138,12/12/09,Hoffenheim,Ein Frankfurt,D,"1,5",4,7
139,12/12/09,M'gladbach,Hannover,H,"2,1","3,3","3,6"
140,12/12/09,Nurnberg,Hamburg,A,"3,5","3,3","2,1"
141,12/12/09,Werder Bremen,Schalke 04,A,"1,8","3,5","4,5"
142,13/12/09,Mainz,Stuttgart,D,"2,8","3,5","2,4"
143,13/12/09,Wolfsburg,Dortmund,A,2,"3,4","3,7"
144,18/12/09,Schalke 04,Mainz,H,"1,45",4,"7,5"
145,19/12/09,Bayern Munich,Hertha,H,"1,17",7,15
146,19/12/09,Dortmund,Freiburg,H,"1,45","4,3","7,5"
147,19/12/09,Ein Frankfurt,Wolfsburg,D,3,"3,4","2,3"
148,19/12/09,Hannover,Bochum,A,"1,8","3,5","4,5"
149,19/12/09,Leverkusen,M'gladbach,H,"1,4","4,5","7,5"
150,19/12/09,Stuttgart,Hoffenheim,H,"2,1","3,4","3,4"
151,20/12/09,FC Koln,Nurnberg,H,"2,15","3,2","3,5"
152,20/12/09,Hamburg,Werder Bremen,H,"2,6","3,2","2,8"
153,15/01/10,Bayern Munich,Hoffenheim,H,"1,42","4,2","8,5"
